,time,x,y,z
0,928,2307674,1762081,-3763111
1,928,2314004,1761991,-3746329
2,927,2320334,1761902,-3729548
3,926,2326664,1761812,-3712766
4,926,2332994,1761722,-3695984
5,926,2339324,1761632,-3679202
6,925,2345655,1761543,-3662421
7,924,2351985,1761453,-3645639
8,924,2358315,1761363,-3628857
9,924,2364645,1761273,-3612075
10,923,2370975,1761184,-3595294
11,922,2377305,1761094,-3578512
12,922,2383635,1761004,-3561730
13,922,2389965,1760914,-3544948
14,921,2396295,1760825,-3528167
15,920,2402625,1760735,-3511385
16,920,2408955,1760645,-3494603
17,920,2415285,1760556,-3477821
18,919,2421616,1760466,-3461040
19,918,2427946,1760376,-3444258
20,918,2434276,1760286,-3427476
21,918,2440606,1760197,-3410694
22,917,2446936,1760107,-3393913
23,916,2453266,1760017,-3377131
24,916,2459596,1759927,-3360349
25,916,2465926,1759838,-3343567
26,915,2472256,1759748,-3326786
27,914,2478586,1759658,-3310004
28,914,2484916,1759569,-3293222
29,914,2491246,1759479,-3276440
30,913,2497577,1759389,-3259659
31,912,2503907,1759299,-3242877
32,912,2510237,1759210,-3226095
33,912,2516567,1759120,-3209313
34,911,2522897,1759030,-3192532
35,910,2529227,1758940,-3175750
36,910,2535557,1758851,-3158968
37,910,2541887,1758761,-3142186
38,909,2548217,1758671,-3125405
39,908,2554547,1758581,-3108623
40,908,2560877,1758492,-3091841
41,908,2567208,1758402,-3075059
42,907,2573538,1758312,-3058278
43,906,2579868,1758223,-3041496
44,906,2586198,1758133,-3024714
45,906,2592528,1758043,-3007932
46,905,2598858,1757953,-2991151
47,904,2605188,1757864,-2974369
48,904,2611518,1757774,-2957587
49,904,2617848,1757684,-2940805
50,903,2624178,1757594,-2924024
51,902,2630508,1757505,-2907242
52,902,2636838,1757415,-2890460
53,902,2643169,1757325,-2873678
54,901,2649499,1757235,-2856897
55,900,2655829,1757146,-2840115
56,900,2662159,1757056,-2823333
57,900,2668489,1756966,-2806551
58,899,2674819,1756877,-2789770
59,898,2681149,1756787,-2772988
60,898,2687479,1756697,-2756206
61,898,2693809,1756607,-2739424
62,897,2700139,1756518,-2722643
63,896,2706469,1756428,-2705861
64,896,2712800,1756338,-2689079
65,896,2719130,1756248,-2672298
66,895,2725460,1756159,-2655516
67,894,2731790,1756069,-2638734
68,894,2738120,1755979,-2621952
69,894,2744450,1755890,-2605171
70,893,2750780,1755800,-2588389
71,893,2750780,1755800,-2588389
72,892,2751321,1755304,-2587050
73,892,2751863,1754808,-2585710
74,892,2752404,1754312,-2584371
75,891,2752945,1753816,-2583032
76,890,2753487,1753320,-2581692
77,890,2754028,1752824,-2580353
78,890,2754569,1752328,-2579014
79,889,2755111,1751832,-2577675
80,888,2755652,1751337,-2576335
81,888,2756193,1750841,-2574996
82,888,2756735,1750345,-2573657
83,887,2757276,1749849,-2572318
84,886,2757817,1749353,-2570978
85,886,2758359,1748857,-2569639
86,886,2758900,1748361,-2568300
87,885,2759441,1747865,-2566961
88,884,2759983,1747369,-2565621
89,884,2760524,1746873,-2564282
90,884,2761065,1746377,-2562943
91,883,2761606,1745881,-2561604
92,882,2762148,1745386,-2560264
93,882,2762689,1744890,-2558925
94,882,2763230,1744394,-2557586
95,881,2763772,1743898,-2556246
96,880,2764313,1743402,-2554907
97,880,2764854,1742906,-2553568
98,880,2765396,1742410,-2552229
99,879,2765937,1741914,-2550889
100,878,2766478,1741418,-2549550
101,878,2767020,1740922,-2548211
102,878,2767561,1740426,-2546872
103,877,2768102,1739930,-2545532
104,876,2768644,1739435,-2544193
105,876,2769185,1738939,-2542854
106,876,2769726,1738443,-2541515
107,875,2770268,1737947,-2540175
108,874,2770809,1737451,-2538836
109,874,2771350,1736955,-2537497
110,874,2771892,1736459,-2536157
111,873,2772433,1735963,-2534818
112,872,2772974,1735467,-2533479
113,872,2773516,1734971,-2532140
